epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1076.19,0.67489,2.89452,1.34241,0.38202,0.4224,0.29399,0.24165,0.72407,2.63657,1.22076,6.92405e-05,6.92405e-05,6.92405e-05
2,2143.32,0.66029,2.10454,1.29445,0.32642,0.46979,0.35651,0.29434,0.71346,2.09196,1.17121,0.00013583,0.00013583,0.00013583
3,3215.21,0.63248,1.86021,1.26404,0.48167,0.54813,0.49775,0.42134,0.67096,1.67394,1.10528,0.000199674,0.000199674,0.000199674
4,4281.55,0.60967,1.71388,1.24732,0.49564,0.53562,0.54172,0.46483,0.64144,1.48078,1.06642,0.000195645,0.000195645,0.000195645
5,5347.93,0.58063,1.55452,1.2216,0.51835,0.63609,0.58535,0.49434,0.64374,1.3911,1.06085,0.000191526,0.000191526,0.000191526
6,6416.17,0.561,1.43325,1.20333,0.59843,0.6237,0.65737,0.56537,0.60563,1.14157,1.01103,0.000187408,0.000187408,0.000187408
7,7486.75,0.53803,1.34553,1.19083,0.5694,0.62905,0.6387,0.5437,0.61886,1.24592,1.03294,0.00018329,0.00018329,0.00018329
8,8557.94,0.53243,1.3014,1.18178,0.57421,0.62897,0.66357,0.56371,0.59109,1.26126,0.99293,0.000179171,0.000179171,0.000179171
9,9621.3,0.51589,1.21607,1.16751,0.71557,0.66313,0.7353,0.63523,0.57141,1.00999,0.99442,0.000175053,0.000175053,0.000175053
10,10686.1,0.50808,1.17143,1.16468,0.67004,0.6803,0.72669,0.61934,0.58546,1.01397,0.96565,0.000170934,0.000170934,0.000170934
11,11748.3,0.50343,1.10629,1.16058,0.6212,0.70545,0.7256,0.62315,0.57571,1.08047,0.97198,0.000166816,0.000166816,0.000166816
12,12809.4,0.48417,1.04864,1.14886,0.72893,0.71443,0.785,0.68508,0.53961,0.84877,0.93759,0.000162698,0.000162698,0.000162698
13,13874.7,0.48778,1.00231,1.15093,0.73215,0.73533,0.79616,0.69843,0.53287,0.85251,0.91873,0.000158579,0.000158579,0.000158579
14,14938.9,0.47888,0.95602,1.14047,0.77176,0.75404,0.80642,0.70211,0.54455,0.78528,0.93282,0.000154461,0.000154461,0.000154461
15,16002.3,0.46956,0.91051,1.13846,0.80717,0.78472,0.83133,0.73189,0.50444,0.69937,0.9033,0.000150342,0.000150342,0.000150342
16,17069.9,0.4634,0.87869,1.13093,0.80923,0.76131,0.84332,0.73949,0.51588,0.74092,0.90468,0.000146224,0.000146224,0.000146224
17,18132.9,0.45821,0.86232,1.12584,0.78461,0.78969,0.83687,0.73674,0.51987,0.73937,0.90492,0.000142106,0.000142106,0.000142106
18,19195.1,0.44349,0.81569,1.11516,0.84564,0.76719,0.85307,0.74893,0.52044,0.72975,0.91286,0.000137987,0.000137987,0.000137987
19,20259.1,0.45065,0.80375,1.11921,0.78574,0.79408,0.84318,0.73664,0.52136,0.71307,0.90135,0.000133869,0.000133869,0.000133869
20,21322.1,0.44443,0.78142,1.11851,0.82173,0.78329,0.85376,0.75249,0.50571,0.66295,0.88616,0.00012975,0.00012975,0.00012975
21,22386.5,0.44057,0.76479,1.11356,0.83219,0.78239,0.85539,0.75022,0.52614,0.66697,0.91672,0.000125632,0.000125632,0.000125632
22,23448.6,0.44476,0.74461,1.1162,0.85967,0.80147,0.87452,0.76935,0.50037,0.60858,0.87743,0.000121514,0.000121514,0.000121514
23,24514.1,0.43516,0.71017,1.10824,0.88559,0.8065,0.88887,0.78296,0.50659,0.59889,0.89995,0.000117395,0.000117395,0.000117395
24,25578.5,0.42085,0.66187,1.09575,0.90364,0.80012,0.89629,0.78553,0.51857,0.6109,0.90006,0.000113277,0.000113277,0.000113277
25,26643,0.42335,0.66655,1.10023,0.84568,0.81081,0.87746,0.77159,0.49725,0.61451,0.88603,0.000109158,0.000109158,0.000109158
26,27708.9,0.42492,0.65327,1.09847,0.85935,0.82288,0.88732,0.78344,0.47887,0.58807,0.8581,0.00010504,0.00010504,0.00010504
27,28773.6,0.41939,0.63543,1.09497,0.87163,0.82056,0.89282,0.79387,0.47408,0.55866,0.85195,0.000100922,0.000100922,0.000100922
28,29839.6,0.41306,0.60913,1.09298,0.86181,0.83939,0.89369,0.78912,0.48741,0.55793,0.86207,9.68032e-05,9.68032e-05,9.68032e-05
29,30904.7,0.41244,0.60323,1.09328,0.8525,0.82574,0.8869,0.78394,0.48275,0.55263,0.86079,9.26848e-05,9.26848e-05,9.26848e-05
30,31970.1,0.40081,0.57124,1.08531,0.90173,0.82805,0.90307,0.79778,0.48982,0.53686,0.8739,8.85664e-05,8.85664e-05,8.85664e-05
31,33037.4,0.40078,0.56399,1.08485,0.88963,0.79811,0.89186,0.79042,0.47203,0.53983,0.84818,8.4448e-05,8.4448e-05,8.4448e-05
32,34102.4,0.40192,0.55792,1.08602,0.87552,0.83968,0.89458,0.79804,0.49589,0.56529,0.8788,8.03296e-05,8.03296e-05,8.03296e-05
33,35167.1,0.39745,0.52897,1.07923,0.90306,0.82545,0.90307,0.80306,0.47622,0.52653,0.85761,7.62112e-05,7.62112e-05,7.62112e-05
34,36233.8,0.39786,0.53941,1.08234,0.90122,0.83163,0.90418,0.80377,0.48204,0.52898,0.85388,7.20928e-05,7.20928e-05,7.20928e-05
35,37301.7,0.39009,0.5234,1.07594,0.88224,0.85235,0.90346,0.80259,0.46799,0.50632,0.84759,6.79744e-05,6.79744e-05,6.79744e-05
36,38370.1,0.39219,0.51422,1.08068,0.90974,0.82074,0.90319,0.80791,0.47718,0.51234,0.85311,6.3856e-05,6.3856e-05,6.3856e-05
37,39440.7,0.38909,0.48021,1.07305,0.88941,0.84179,0.90375,0.80349,0.47509,0.5184,0.85494,5.97376e-05,5.97376e-05,5.97376e-05
38,40512.5,0.37594,0.4717,1.06537,0.89918,0.83856,0.90455,0.80903,0.44907,0.49195,0.82258,5.56192e-05,5.56192e-05,5.56192e-05
39,41582.6,0.37669,0.45698,1.06711,0.90719,0.83998,0.90918,0.81098,0.46525,0.48436,0.83356,5.15008e-05,5.15008e-05,5.15008e-05
40,42646.8,0.36818,0.45499,1.06016,0.90247,0.85341,0.91082,0.81516,0.46696,0.478,0.84209,4.73824e-05,4.73824e-05,4.73824e-05
